X_id,Project.ID,Addresses,Anchor.Address,Status,Ward,Affordable.Homes.Approved..2020...Present.,Total.ARH.Approved..2017...Present.,Rent.Controlled.Market.Units.Approved,RGI.Homes.Approved,geometry
1,ARH0001,"1001, 1007, 1011 and 1037 The Queensway",1001 The Queensway,Under Construction,3,0,6,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.51526463, 43.62317976]]}"
2,ARH0002,100-120 Broadway Avenue,100 Broadway Ave,Under Construction,14,0,50,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.39319723, 43.71096017]]}"
3,ARH0003,100-120 Broadway Avenue,100 Broadway Ave,Under Construction,14,6,6,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.39319723, 43.71096017]]}"
4,ARH0004,1072 - 1080 Bathurst Street,1072 Bathurst St,Occupied,11,9,9,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.41434208, 43.67239262]]}"
5,ARH0005,1080 Queen Street East,1080 Queen St E,Under Construction,14,9,9,NA,9,"{'type': 'MultiPoint', 'coordinates': [[-79.33669, 43.662097]]}"
6,ARH0006,109-125 George Street and 231 Richmond Street East,125 George St,Under Construction,13,7,7,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.37127918, 43.77372266]]}"
7,ARH0007,11 Brock Avenue,11 Brock Ave,Pre-Planning,4,40,40,NA,40,"{'type': 'MultiPoint', 'coordinates': [[-79.43224046, 43.64212337]]}"
8,ARH0008,11 Macey Avenue,11 Macey Ave,Occupied,20,56,56,NA,56,"{'type': 'MultiPoint', 'coordinates': [[-79.28672758, 43.69273877]]}"
9,ARH0010,111 Pacific Avenue,111 Pacific Ave,Under Review,4,0,36,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.46477715, 43.65715733]]}"
10,ARH0011,1117-1119 Gerrard Street East,1117 Gerrard St E,Occupied,14,0,36,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.33348435, 43.6694534]]}"
11,ARH0012,1120 Ossington Ave,1120 Ossington Ave,Final Planning Approval,9,25,25,NA,25,"{'type': 'MultiPoint', 'coordinates': [[-79.43018233, 43.67193095]]}"
12,ARH0013,"1141 Bloor Street West, 980 Dufferin Street, and 90 Croatia Street",1141 Bloor St W,Under Review,9,0,56,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.43644365, 43.6592551]]}"
13,ARH0014,118 Havelock Street,118 Havelock St,Pre-Planning,9,15,15,NA,15,"{'type': 'MultiPoint', 'coordinates': [[-79.430825, 43.655969]]}"
14,ARH0015,1229 Queen Street West,1229 Queen St W,Pre-Planning,4,76,76,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.42941893, 43.65631733]]}"
15,ARH0016,1236 Birchmount Road,1236 Birchmount Rd,Occupied,21,0,220,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.28478443, 43.74676537]]}"
16,ARH0017,"1240, 1246, 1250 Weston Road",1240 Weston Rd,Under Review,5,97,97,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.49346772, 43.63975285]]}"
17,ARH0018,"1245 Dupont Street, 213 Emerson Avenue, 1260 Dufferin Street",1245 Dupont St,Under Construction,9,0,150,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.44175752, 43.6545658]]}"
18,ARH0019,1250 Eglinton Ave West,1250 Eglinton Ave W,Under Review,8,80,80,160,8,"{'type': 'MultiPoint', 'coordinates': [[-79.4344265, 43.69907461]]}"
19,ARH0020,1250 Markham Road,1250 Markham Road,Cancelled,24,303,303,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.23422386, 43.77892625]]}"
20,ARH0021,125R Mill Street (West Don Lands - Block 20),125 Mill St,Under Review,13,0,210,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.35583472, 43.73255146]]}"
21,ARH0022,128 Havelock Street,128 Havelock St,Pre-Planning,9,10,10,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.430993, 43.656317]]}"
22,ARH0023,130 Augusta Avenue,130 Augusta Ave,Pre-Planning,10,4,4,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.40121902, 43.66261872]]}"
23,ARH0024,130 River Street,130 River St,Occupied,13,8,8,NA,5.2,"{'type': 'MultiPoint', 'coordinates': [[-79.35857944, 43.66148426]]}"
24,ARH0025,"1303, 1313 and 1325 Queen Street West and 220 Cowan Avenue (Parkdale Hub)",1325 Queen St W,Under Review,4,76,76,155,7.6,"{'type': 'MultiPoint', 'coordinates': [[-79.43265066, 43.64115089]]}"
25,ARH0026,1306-1310 The Queensway,1306 The Queensway,Under Review,3,12,12,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.52779671, 43.62147385]]}"
26,ARH0027,"131, 151 and 181 Mill St (West Don Lands - Block 8 A,B,C) ",131 Mill St,Occupied,13,0,231,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.35673208, 43.65123878]]}"
27,ARH0028,"13-15, 17-19 Winchester Street",13 Winchester St,Occupied,13,0,35,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.37033744, 43.73391455]]}"
28,ARH0029,1319 Bloor Street West,1319 Bloor St W,Under Review,9,15,15,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.44469207, 43.65774104]]}"
29,ARH0030,1350 Sheppard Avenue West (Downsview Area Secondary Plan - William Baker District),1350 Sheppard Ave W,Under Review,6,220,220,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.48489413, 43.74531822]]}"
30,ARH0031,136 Kingston Road,136 Kingston Rd,Under Construction,19,24,24,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.31162559, 43.67072535]]}"
31,ARH0032,14 Spadina Road,14 Spadina Rd,Occupied,11,0,24,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.40495705, 43.66784348]]}"
32,ARH0033,140 Merton Street,140 Merton St,Under Review,12,98,98,196,14.7,"{'type': 'MultiPoint', 'coordinates': [[-79.39170541, 43.69754214]]}"
33,ARH0034,140 the Queensway,140 The Queensway,Under Review,3,38,38,NA,38,"{'type': 'MultiPoint', 'coordinates': [[-79.48358506, 43.6307302]]}"
34,ARH0035,1423 Dufferin Street,1423 Dufferin St,Under Review,9,10,10,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.43994658, 43.67121954]]}"
35,ARH0036,1430 Gerrard Street East,1430 Gerrard St E,Occupied,14,23,23,NA,23,"{'type': 'MultiPoint', 'coordinates': [[-79.32230139, 43.67248542]]}"
36,ARH0037,144 Galloway Road,144 Galloway Rd,Final Planning Approval,24,120,120,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.19459626, 43.76071245]]}"
37,ARH0038,1467 Bathurst Street and 490 St Clair Avenue West,1467 Bathurst St,Under Construction,12,16,16,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.41810886, 43.68356354]]}"
38,ARH0039,1499 Queen Street West,1499 Queen Street West,Pre-Planning,4,30,30,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.440558, 43.639752]]}"
39,ARH0040,150 Dunn Avenue,150 Dunn Avenue,Under Construction,4,51,51,NA,51,"{'type': 'MultiPoint', 'coordinates': [[-79.43357706, 43.63659231]]}"
40,ARH0041,150 Eighth Street,150 Eighth St,Under Review,3,58,58,NA,58,"{'type': 'MultiPoint', 'coordinates': [[-79.50759301, 43.6021441]]}"
41,ARH0042,150 Queens Wharf Road,150 Queens Wharf Rd,Under Review,10,141,141,141,14.1,"{'type': 'MultiPoint', 'coordinates': [[-79.39995208, 43.63983361]]}"
42,ARH0044,1501 Queen Street West,1501 Queen Street West,Occupied,4,0,38,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.44067439, 43.63979949]]}"
43,ARH0045,153-185 Eastern Avenue,153 Eastern Avenue,Pre-Planning,13,256,256,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.355846, 43.654565]]}"
44,ARH0046,1540-1550 Bloor Street West,1540 Bloor St W,Under Review,4,14,14,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4529346, 43.65642789]]}"
45,ARH0047,155-165 Elm Ridge Drive,165 Elm Ridge Dr,Under Construction,8,106,106,NA,106,"{'type': 'MultiPoint', 'coordinates': [[-79.43863504, 43.70255582]]}"
46,ARH0048,1552 Weston Road,1552 Weston Rd,Under Review,5,50,50,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.50633828, 43.69433158]]}"
47,ARH0049,1070 Eastern Ave (formerly 1555 - 1575 Queen Street East (Don Summerville)),1070 Eastern Ave (formerly 1555 Queen St E),Under Construction,14,100,100,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.31869728, 43.66565391]]}"
48,ARH0050,158 Borough Drive,158 Borough Dr,Under Review,21,229,229,229,22.9,"{'type': 'MultiPoint', 'coordinates': [[-79.25667572, 43.77269972]]}"
49,ARH0051,161 Spadina Road,161 Spadina Rd,Occupied,11,10,10,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.40594131, 43.67267247]]}"
50,ARH0052,1627 & 1675 Danforth Avenue,1627 Danforth Ave,Under Review,19,67,67,133,6.7,"{'type': 'MultiPoint', 'coordinates': [[-79.3220098, 43.68310969]]}"
51,ARH0053,1631 - 1632 Queen Street East,1631 Queen St E,Under Review,19,93,93,186,9.3,"{'type': 'MultiPoint', 'coordinates': [[-79.31557687, 43.66630071]]}"
52,ARH0054,1650 Sheppard Avenue East,1650 Sheppard Ave E,Under Review,16,10,10,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.34908051, 43.77512129]]}"
53,ARH0055,1693-1707 Weston Road and 10 Victoria Avenue East,1693 Weston Rd,Under Review,5,6,6,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.50926227, 43.69748017]]}"
54,ARH0056,1-7 Yonge Street (phase 1),1 Yonge St,Occupied,10,0,100,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.37395864, 43.64275259]]}"
55,ARH0057,1-7 Yonge Street (phase 3),1 Yonge St,Occupied,10,0,141,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.37395864, 43.64275259]]}"
56,ARH0058,"1-70 Eglinton Square, 1431 and 1437 Victoria Park Avenue, 14, 18, 19, 22, 23 and 26 Engelhart Crescent and 64 and 68 Harris Park Drive",1 Eglinton Sq,Under Review,20,85,85,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.30082274, 43.72300417]]}"
57,ARH0059,171 Dunn Avenue/1337 and 1339 King Street West,1337 King Street West,Pre-Planning,4,92,92,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.432875, 43.638001]]}"
58,ARH0060,1712 Ellesmere Road,1712 Ellesmere Road ,Pre-Planning,24,140,140,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.248213, 43.773722]]}"
59,ARH0061,1731 Lawrence Avenue East,1731 Lawrence Ave E,Under Review,21,95,95,NA,95,"{'type': 'MultiPoint', 'coordinates': [[-79.30817097, 43.74208978]]}"
60,ARH0062,175 Cummer Avenue,175 Cummer Ave,Under Review,18,59,59,NA,59,"{'type': 'MultiPoint', 'coordinates': [[-79.40864078, 43.78785777]]}"
61,ARH0064,1750 Ellesmere Road,1750 Ellesmere Rd,Under Review,24,92,242,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.24663325, 43.77354895]]}"
62,ARH0065,1750-1900 The Queensway,1750 The Queensway,Under Review,3,200,200,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.55665606, 43.61454954]]}"
63,ARH0066,18 Tretti Way (30 Tippett Road),18 Tretti Way,Occupied,6,0,50,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.447678, 43.732551]]}"
64,ARH0067,180 Sackville Street (Regent Park Phase 2 and 3),180 Sackville Street,Occupied,13,0,40,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.36256889, 43.65863285]]}"
65,ARH0068,1880-1890 Eglinton Avenue East and 1523-1545 Victoria Park Avenue,1880 Eglinton Ave E,Under Review,21,130,130,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.2994831, 43.72551889]]}"
66,ARH0069,1900 Eglinton Avenue East (Phase 1 Block 1),1900 Eglinton Ave E,Under Review,21,60,60,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.2939094, 43.72748563]]}"
67,ARH0070,1966 - 2050 Eglinton Avenue East and 50 Thermos Road,1966 Eglinton Ave E,Under Review,21,67,67,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.28583042, 43.72847508]]}"
68,ARH0071,1978 - 2002 Lake Shore Boulevard West,1978 Lakeshore Blvd W,Under Construction,4,61,61,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.46933983, 43.63497691]]}"
69,ARH0072,2 Main Street and 650 Kingston Road,2 Main St,Occupied,19,0,12,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.29837664, 43.67903833]]}"
70,ARH0073,2 Tecumseth Street and 125-133 Niagara Street,2 Tecumseth St,Under Review,10,26,26,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.40591504, 43.64071519]]}"
71,ARH0074,"200, 208, 218, 228 and 230 Queens Quay West and 8 York Street West",200 Queens Quay W,Under Review,10,76,76,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.38174034, 43.64048196]]}"
72,ARH0075,203 College Street,203 College St,Occupied,11,0,4,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.39529162, 43.65862708]]}"
73,ARH0076,21 Windsor Street,21 Windsor St. ,Pre-Planning,3,102,102,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.555743, 43.699074]]}"
74,ARH0077,2102 Lawrence Avenue East,2102 Lawrence Ave E,Under Review,21,37,37,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.29046552, 43.74670626]]}"
75,ARH0078,212 - 220 King Street West,212 King St W,Under Review,10,11,11,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.386395, 43.647649]]}"
76,ARH0079,212 Epsom Downs Drive,212 Epsom Downs Dr,Occupied,6,0,2,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.50011647, 43.72373206]]}"
77,ARH0080,2140 Bloor Street West,2140 Bloor Street West,Pre-Planning,4,0,13,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.47259752, 43.65230579]]}"
78,ARH0081,215 Lake Shore Boulevard East,215 Lake Shore Blvd E,Under Review,10,110,110,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.36698556, 43.64565769]]}"
79,ARH0082,215 Wellesley Street East,215 Wellesley St E,Under Construction,13,48,48,NA,48,"{'type': 'MultiPoint', 'coordinates': [[-79.37297939, 43.66714857]]}"
80,ARH0083,2150 Lake Shore Boulevard West (Future phases),2150 Lake Shore Blvd W,Under Review,3,0,1364,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.48022909, 43.62555222]]}"
81,ARH0084,2150 Lake Shore Boulevard West (Phase 1),2150 Lake Shore Blvd W,Under Review,3,0,136,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.48022909, 43.62555222]]}"
82,ARH0085,218 Carlton Street,218 Carlton St,Occupied,13,20,20,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.36973264, 43.66413311]]}"
83,ARH0086,22 Balliol Street,22 Balliol St,Under Review,12,32,32,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3955361, 43.69790993]]}"
84,ARH0087,"22 John Street, 33 King Street and 2 Elsmere Avenue (The Weston Community Cultural Hub - phase 1)",22 John St,Occupied,5,0,21,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.51783678, 43.70161713]]}"
85,ARH0088,22 Maynard Avenue,22 Maynard Avenue,Pre-Planning,4,9,9,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.437894, 43.637907]]}"
86,ARH0089,25 Wyatt Avenue (Regent Park Phase 2 and 3),25 Wyatt Ave,Occupied,13,0,22,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.35945495, 43.66012393]]}"
87,ARH0090,2200 Eglinton Avenue East (Block 2),2200 Eglinton Ave E,Under Review,21,39,39,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.28114089, 43.73001601]]}"
88,ARH0091,2200 Eglinton Avenue East Golden Mile (Blocks 4 and 7),2200 Eglinton Ave E,Under Review,21,91,91,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.28114089, 43.73001601]]}"
89,ARH0092,2217 Kingston Road,2217 Kingston Rd,Under Construction,20,24,24,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.25259337, 43.70371978]]}"
90,ARH0093,222 Spadina Avenue,222 Spadina Ave,Occupied,10,84,84,NA,84,"{'type': 'MultiPoint', 'coordinates': [[-79.39783776, 43.65092866]]}"
91,ARH0094,230 Coxwell Avenue,230 Coxwell Ave,Under Review,14,20,20,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.31937738, 43.67202217]]}"
92,ARH0095,230 Sackville Street (Regent Park Phase 2 and 3),230 Sackville Street,Occupied,13,0,50,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.36306186, 43.65985206]]}"
93,ARH0096,2346 Weston Road,2346 Weston Road,Under Construction,5,0,157,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.53124195, 43.70577502]]}"
94,ARH0097,2444 Eglinton Avenue East,2444 Eglinton Ave E,Pre-Planning,21,315,315,296,31.5,"{'type': 'MultiPoint', 'coordinates': [[-79.26438687, 43.73373295]]}"
95,ARH0098,248 Ossington Avenue,248 Ossington Ave,Pre-Planning,9,76,76,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.42121307, 43.64978166]]}"
96,ARH0099,2495 Eglinton Avenue East,2495 Eglinton Avenue East,Pre-Planning,20,4,4,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.259737, 43.733914]]}"
97,ARH0100,25 Augusta Avenue,25 Augusta Ave,Under Construction,10,31,31,NA,31,"{'type': 'MultiPoint', 'coordinates': [[-79.39949703, 43.64906978]]}"
98,ARH0101,25 Borough Drive,25 Borough Dr,Under Review,21,64,64,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.26149458, 43.77404831]]}"
99,ARH0102,25 Fisherville Road,25 Fisherville Rd,Under Review,6,10,10,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.44897913, 43.78887474]]}"
100,ARH0103,25 Leonard Avenue,25 Leonard Ave,Occupied,11,0,22,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.40412487, 43.65382603]]}"
101,ARH0104,25 Nicholas Avenue,25 Nicholas Avenue,Occupied,13,0,34,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.35813965, 43.65966255]]}"
102,ARH0105,25 Sewells Road (Phase 2),25 Sewells Rd,Under Construction,25,319,319,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.21581642, 43.80741558]]}"
103,ARH0108,250 Brenyon Way,250 Brenyon Way,Pre-Planning,25,0,153,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.21561805, 43.80675518]]}"
104,ARH0109,250 Dundas Street West,250 Dundas St W,Under Review,11,22,22,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.38979491, 43.65480946]]}"
105,ARH0110,251 Esther Shiner Boulevard,251 Esther Shiner Blvd,Pre-Planning,17,603,603,603,60.3,"{'type': 'MultiPoint', 'coordinates': [[-79.36549304, 43.76884546]]}"
106,ARH0111,254 - 260 Adelaide Street West,260 Adelaide St W,Under Review,10,254,254,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.38956419, 43.64830654]]}"
107,ARH0112,"2550 Victoria Park Avenue and 2, 4, 6 Lansing Square (Phase 1)",2550 Victoria Park Ave,Under Review,17,80,80,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.32310501, 43.77379262]]}"
108,ARH0113,"2550 Victoria Park Avenue and 2, 4, 6 Lansing Square (Phase 2)",2550 Victoria Park Ave,Under Review,17,80,80,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.32310501, 43.77379262]]}"
109,ARH0114,257 Dundas Street East,257 Dundas Street East,Occupied,13,0,33,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.37211633, 43.65805333]]}"
110,ARH0115,2600 Don Mills Road,2600 Don Mills Rd,Under Review,17,19,19,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.34860618, 43.77625096]]}"
111,ARH0116,265 Balliol Street,265 Balliol St,Occupied,12,23,23,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.38781075, 43.69877738]]}"
112,ARH0117,2667 - 2677 Kipling Road,2667 Kipling Ave,Under Review,1,0,120,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.5833666, 43.74849586]]}"
113,ARH0118,27 Grosvenor Street & 26 Grenville Street,27 Grosvenor St,Under Review,13,0,210,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.38526442, 43.66246756]]}"
114,ARH0119,2700 Eglinton Avenue West,2700 Eglinton Ave W,Pre-Planning,5,100,100,101,10,"{'type': 'MultiPoint', 'coordinates': [[-79.47841238, 43.68988424]]}"
115,ARH0120,285 - 297 Danforth Ave./ 60 - 80 Bowden St,60 Bowden St,Under Review,14,50,50,NA,50,"{'type': 'MultiPoint', 'coordinates': [[-79.35408755, 43.67699635]]}"
116,ARH0121,290 Old Weston Road,290 Old Weston Rd,Under Review,9,18,18,NA,18,"{'type': 'MultiPoint', 'coordinates': [[-79.46316395, 43.6717127]]}"
117,ARH0122,2901 Bayview Avenue,2901 Bayview Ave,Under Review,17,40,40,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.38602584, 43.76920286]]}"
118,ARH0123,292 - 296 Parliament Street,292 Parliament St,Occupied,13,24,24,NA,24,"{'type': 'MultiPoint', 'coordinates': [[-79.36599037, 43.65865898]]}"
